carpark_number,update_datetime,total_lots,lot_type,lots_available
HE12,2022-06-30T23:00:59,105,C,56
HLM,2022-07-01T00:58:55,583,C,482
RHM,2022-06-30T23:00:59,329,C,134
BM29,2022-07-01T00:58:59,97,C,82
Q81,2022-07-01T00:58:54,96,C,75
C20,2022-07-01T00:59:15,177,C,128
FR3M,2022-07-01T00:58:54,228,C,162
C32,2022-07-01T00:59:22,289,C,110
C6,2022-07-01T00:59:08,332,C,117
TG2,2022-07-01T00:58:53,273,C,89
BP1,2022-07-01T00:59:01,543,C,184
TG1,2022-07-01T00:58:54,133,C,47
TGM2,2022-07-01T00:58:53,189,C,123
TE14,2022-07-01T00:59:09,138,C,30
BM3,2022-07-01T00:59:04,48,C,2
BM9,2018-12-17T07:42:34,612,C,121
HG44,2022-07-01T00:56:54,155,C,37
HG64,2022-07-01T00:56:56,82,C,41
PM27,2022-07-01T00:57:12,326,C,113
PM28,2022-07-01T00:57:11,305,C,68
TM36,2022-07-01T00:56:48,225,C,49
TM37,2022-07-01T00:57:09,244,C,57
T50,2022-07-01T00:57:01,350,C,104
T51,2022-07-01T00:57:13,346,C,31
TM43,2022-07-01T00:57:13,247,C,187
T15,2022-07-01T00:57:01,30,C,17
T16,2022-07-01T00:56:44,109,C,24
T17,2022-07-01T00:57:04,228,C,73
T18,2022-07-01T00:57:03,81,C,57
B9,2022-07-01T00:56:47,213,C,105
B10,2022-07-01T00:57:07,516,C,157
B14,2018-10-29T09:18:49,208,C,61
WCB,2022-07-01T00:56:50,143,C,87
ACB,2022-07-01T00:57:49,93,C,64
CY,2022-07-01T00:57:49,31,C,2
AM46,2022-07-01T00:58:58,408,C,56
A12,2022-07-01T00:58:58,205,C,87
BE45,2022-07-01T00:58:34,363,C,52
BE39,2022-07-01T00:58:33,707,C,168
BE40,2019-06-18T10:58:35,339,C,201
RCB,2017-03-31T12:00:21,320,C,181
CR29,2022-07-01T00:57:35,56,C,0
KLM,2022-07-01T00:55:51,352,C,276
SE34,2022-07-01T00:58:36,270,C,46
KB7,2022-07-01T00:56:03,65,C,51
SE31,2022-07-01T00:58:51,187,C,7
J56,2022-07-01T00:58:13,15,C,11
J57,2022-07-01T00:56:47,362,C,333
J57L,2022-07-01T00:56:47,13,C,6
J33,2022-07-01T00:58:36,129,C,43
J34,2022-07-01T00:55:35,123,C,42
BL8,2022-07-01T00:57:51,679,C,336
J36,2022-07-01T00:58:18,482,C,59
J54,2022-07-01T00:58:59,226,C,164
J55,2022-07-01T00:57:53,141,C,72
J43,2022-07-01T00:55:36,190,C,56
J46,2022-07-01T00:58:12,63,C,49
KB1,2022-07-01T00:57:13,239,C,49
GBM,2022-07-01T00:57:13,677,C,316
SE14,2022-07-01T00:58:45,187,C,45
SE50,2022-07-01T00:58:45,591,C,360
J40,2022-07-01T00:58:32,206,C,13
JM1,2022-07-01T00:56:16,268,C,103
