car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,lat,lon
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.3073435265931928,103.78446333008448
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.3047713772680511,103.78519200383911
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.285582554992309,103.8032152641592
BMVM,BLK 126A BUKIT MERAH VIEW,26866.0055,29672.9702,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.2846262894692293,103.82312918959778
BM1,BLK 28 JALAN BUKIT MERAH,25357.1463,29858.3486,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.286302695840327,103.8095714771455
BM10,BLK 56/57 LENGKOK BAHRU,25857.7754,30056.6386,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2880959990479637,103.81406981706996
BM13,BLK 44/47 LENGKOK BAHRU,25648.7676,29924.1943,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2868982043967885,103.81219180664442
BM14,BLK 34-36 JALAN RUMAH TINGGI,25276.6255,30161.1078,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,5.4,N,1.2890407366150325,103.80884793932955
BM19,BLK 88/89 REDHILL CLOSE,26373.3689,29793.0744,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.285712448025431,103.81870264853342
BM2,BLK 28 HOY FATT ROAD,25399.6152,29918.9512,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.1,N,1.286850767983495,103.8099530722615
