Region,Landmark,Postal_Code,address
Chinatown,Buddha Tooth Relic Temple,58840,"Buddha Tooth Relic Temple, Singapore"
,Sri Mariamman Temple,58793,"Sri Mariamman Temple, Singapore"
,Maxwell Food Centre,69184,"Maxwell Food Centre, Singapore"
,Thian Hock Keng Temple,68613,"Thian Hock Keng Temple, Singapore"
,Chinatown Heritage Centre,59207,"Chinatown Heritage Centre, Singapore"
,Chinatown Street Market,58943,"Chinatown Street Market, Singapore"
,Singapore Musical Box Museum,68619,"Singapore Musical Box Museum, Singapore"
,Chinatown Complex,50335,"Chinatown Complex, Singapore"
,Masjid Jamae,58767,"Masjid Jamae, Singapore"
,People's Park Complex,59108,"People's Park Complex, Singapore"
,Masjid Al-Abrar,68635,"Masjid Al-Abrar, Singapore"
Tanjong Pagar,"100 AM, Tras Street",79027,"100 AM, Tras Street, Singapore"
,Icon Village,78877,"Icon Village, Singapore"
,Bangladesh High Commission,89058,"Keppel Road, Jit Poh Building, Singapore"
,Tanjong Pagar Community Club,89774,"Tanjong Pagar Community Club, Singapore"
,Duxton Skybridge,85601,"1G Cantonment Rd, Singapore"
,Jinrikisha Station,88804,"Jinrikisha Station, Singapore"
,Sri Layan Sithi Vinayagar Temple,89167,"Sri Layan Sithi Vinayagar Temple, Singapore"
,Seng Wong Beo Temple,79332,"Seng Wong Beo Temple, Singapore"
,Guoco Tower,78881,"Guoco Tower, Singapore"
,MAS Gallery,79117,"10 Shenton Way, Singapore"
,NUS Baba House,88883,"157 Neil Rd, Singapore"
,Singapore City Gallery,69118,"Singapore City Gallery, Singapore"
,Tantric Bar,88841,"Tantric Bar, Singapore"
Tiong Bahru,Tiong Bahru Park,159561,"Tiong Bahru Park, Singapore"
,Pin Pin Piau Kay & Co Store,160071,"71 Seng Poh Rd, Singapore"
,Holiday Inn Singapore Atrium,169075,"317 Outram Rd, Singapore"
,Emerald Park,169586,"Emerald Park, Singapore"
,Beo Crescent Market,169982,"38A Beo Cres, Singapore"
,Singapore General Hospital,169608,"Singapore General Hospital, Singapore"
,Foodie Market Place,169038,"Foodie Market Place, Singapore"
,Tan Boon Liat Building,169074,"Tan Boon Liat Building, Singapore"
,Tiong Bahru Market,168716,"Tiong Bahru Market, Singapore"
,Tiong Bahru Community Centre,169715,"Tiong Bahru Community Centre, Singapore"
